"id","female","anxdep1","anxdep2","anxdep3","anxdep4","lonely1","lonely2","lonely3","lonely4"
54,0,1.75,1.75,2.25,1.75,1.25,1.75,1.25,1
55,0,1.25,1.25,1.25,2.5,3,2.5,1.75,2.5
56,0,1.5,1.75,1.75,1.25,1.5,2.5,2.25,2
57,0,2.5,3,2.75,3,3.25,2.75,3,2.5
58,0,1,1,1.5,2.75,2,1.75,2.25,2.75
59,0,1,1,1,1,1.25,1.75,2.5,2.25
60,0,1.75,1.5,1.75,2,2,2.5,2.75,1.75
61,0,1,2.25,1,1.75,2.25,3.5,1,1.5
62,0,2.5,2.5,2,1.25,3,1.5,1.5,2
63,0,3.5,2.5,3,3.25,3,2,3.25,3
64,0,2.25,1.5,1,1.75,2.25,1.75,1.25,1.5
65,0,1.25,2,1.5,1.5,1,2.25,2.25,2.75
66,0,2.5,1.75,2.5,2,1.75,1.5,2,2.25
67,0,1.5,2,2,2.25,2.25,3,2.5,2
68,0,1.5,2,1.5,2,2.5,3,2,2.5
69,0,1,1,1,1.25,2,1.75,1,1
70,0,1,1,1.75,2,1,1,2.25,2.25
71,0,1,1,1.25,1.75,2.5,2.75,2,2.5
72,0,2,1,1,1,1.75,1.25,1.25,1
73,0,1.25,1,1,1,1.5,1.75,2,1.75
74,0,1.75,1.25,1,2.25,2,2,2.25,2.75
75,0,1.75,2,1.75,1.5,2,2.25,1.5,1.5
76,0,2,2,1.25,2.5,2.5,2.5,3,3.5
77,0,1,1.75,1,1.5,2,2,1,1.5
78,0,2.5,1.75,1.25,1.5,2.75,2.25,1.75,2.25
79,0,2.5,2.75,1.75,2.25,3,2.75,3.5,3.5
80,0,1,1.25,1,1,1.75,2.25,2,2.75
81,0,1.5,1,1.5,1.5,1.75,1.25,1.75,2
82,0,1,1.5,1,1.25,1.75,2.25,2,2.25
83,0,1.75,1.5,1.5,1.75,1.25,2,1.5,1.25
84,0,1,1,1,1,2.5,1.75,2.5,2.25
85,0,1,1,1,1.25,1.5,2,1.5,1
86,0,1,1,1.5,1,1,1,1.75,1
87,0,1.75,1.25,1.75,2.25,2.75,3,2.5,2.25
88,0,3,2,2.5,2.5,3,3,2.5,2
89,0,1.5,1.25,2,1.75,2.5,2,3.5,3.25
90,0,1,1.5,1.25,1.25,1,1.75,2,2.75
91,0,1,1,2,2,1.75,1.75,2.25,2
92,0,2,1.5,2.5,2.75,2.75,2.25,2.25,2.25
93,0,2.75,1.75,2.25,2.25,3,2.5,3.75,2.25
94,0,1,1.75,2.75,2.25,2.25,2.75,2.5,2.5
95,0,2,1.25,1.25,1.75,1,1,1.5,1
96,0,2,1.75,1.5,2.75,2.5,3,2.5,2.5
97,0,2.25,2.75,3.5,2,2.5,3,3,2.5
98,0,1,1.25,1.25,1.75,2.5,1.75,1.25,2.25
99,0,1.25,1.25,1.5,1,1.5,1.75,2.25,1.5
100,0,1,1.5,1.25,1.5,2.25,1.5,1,1
101,0,1,1,1.5,2.5,1.75,2.25,1.5,2
102,0,2,1.75,2.5,2.5,2,2,3.75,2.75
103,0,1.25,1.5,1,1.25,1.5,2.25,1.5,2.25
104,0,2.25,2.25,1.75,1.75,1.75,2,2,2.25
105,0,1.75,2.25,2.25,2.75,3.5,2.75,2.5,2.75
106,0,1,1,1,1.5,1.25,1,1.5,1
107,0,1.5,1,1.25,1.75,1.25,2.25,1.5,1.75
108,0,1.25,1.25,1,1.75,1.75,2,1.5,1.5
109,0,1.25,2,1.75,1.75,1,2.5,2,1.75
110,0,1.5,1.75,1,2.25,2.5,3,2.75,2.25
111,0,1.5,1.25,1.25,2.5,3.25,2.75,1.5,3
112,0,2.5,2.25,1.75,2.75,3,2.75,2.5,3.25
113,0,1.25,1.75,2.25,2.25,1,1.25,1.25,2.25
114,0,1.5,2,2,1.75,1.75,1.75,2,1.5
115,0,2,1.25,1,1.5,2.75,1.25,1.75,2
116,0,1.25,1.5,2,2.25,1.75,2.5,2.5,2.75
117,0,1,1,1.5,2.25,1.5,1.5,2.5,2.5
118,0,1.5,2.5,2.5,1.25,2.75,1.75,2,1.5
119,0,1,1,1.25,1,1,1.25,1.25,1.5
120,0,1,2,1.75,2.25,1.5,2,2.25,2.25
121,0,2.25,1,1.75,1.75,2.5,1.75,1,2
122,0,1.75,1.25,1.25,2.25,3.75,2.75,2.25,3.75
123,0,1.5,1,1,1.5,3.25,3,2.75,2.5
124,0,2,2,2,2,2.75,2.25,2.5,2
125,0,2.5,2.5,1.25,1.75,2.75,2.75,2.75,2.25
126,0,1,1.25,1,2,2,1.25,2.25,2
127,0,1.25,2,2.75,3,1.25,2,2.5,2.5
128,0,1,1,1,1,1.5,1,1.5,1
129,0,1.5,1.25,2.5,2.25,1.75,1.25,2.5,1.5
130,0,1,1,1,1.25,2.5,2,1.5,2.25
131,0,2,1.25,1.75,2.5,3.75,3.5,3.25,3
132,0,1,1.25,1.75,2.25,2.25,2.5,3.25,2.75
133,0,1.25,1.25,1.25,1.25,2.5,1.75,1.75,1.5
134,0,1.75,1,1,1.75,2,1.75,1.25,1.75
135,0,1,1,1.75,1.75,1.5,1.25,1.5,1.25
136,0,1.75,2,2,1.75,2.5,2.5,2.75,2.25
137,0,1.25,1.75,2.25,3.25,2.25,2.75,2.75,4.25
138,0,2.25,1.5,1.75,1.75,2.25,1.75,2,1.75
139,0,1.25,1.75,2,1.5,2.5,2.25,2,1.5
140,0,2,1.75,2.25,2.5,3,3,3.25,3.5
141,0,1,1,1,1,1,1.5,1,1
142,0,2.5,1.75,2.25,2.75,3.5,2.75,3.25,3.5
143,0,1,1,1.75,2.5,1.25,2.25,2.25,2.5
144,0,1.5,2.5,2.75,2.75,1.75,2.5,2.25,2
145,0,2.25,2,2.75,3.5,3,2.5,3,3.75
146,0,2,1,2,1.75,1.75,1.25,2,2.25
147,0,2.75,1.75,2,2.25,2.75,2,2.75,3
148,0,2,1.5,1,1.5,1.5,1.25,2,2.5
149,0,1,1.5,1.25,1.25,2,2.5,2,1.5
150,0,1,1,2.25,1.5,1,1,1.5,1.25
151,0,1.25,3,2.5,1.5,3,3.5,3,3
152,0,1.5,1.75,1,1.5,1.5,2,2,2.25
153,0,2.5,2.75,2.75,3.25,3,2.5,3.25,3.25
154,0,1.75,1.5,2.25,2.25,2.25,2.75,3.25,3.25
155,0,1,1,1.75,1.25,2,2.25,2.75,1.75
156,0,1.75,1.75,2.5,2,2.25,1.75,2.75,2.5
157,0,2,1.75,2.75,2,2.25,2.25,3,2
158,0,1.5,1.75,1,1.75,2,2.75,2.25,1.25
159,0,1.75,1.5,1,1.25,1.25,1.75,1,1.5
160,0,2.25,1.75,2.5,2,3.5,2.25,3.25,1.75
161,0,1,1,1,2.5,2.75,2.75,2,2.5
162,0,2.25,2.25,2.25,2,1.5,2.25,2,2
163,0,3,1.75,2.5,2.75,3.5,3,4,3.5
164,0,1.25,1.5,1.75,1,1.75,2,1.75,1.75
165,0,1,1.25,1.25,1.25,1,1.25,1.5,1.5
166,0,1.5,1.75,1.5,2.25,2.75,3,2.75,2.5
167,0,2.25,2.5,2.5,2.75,3,2.5,2.75,3.5
168,0,1.5,1.75,1.75,2.5,2,2,1.75,2
169,0,1,1.75,2,1.25,2,2.5,2.25,2.25
170,0,3,2.5,3.25,3,3,2.75,4.5,3.25
171,0,1.25,1.75,2.25,2.5,1.75,2.25,3,2.25
172,0,1.25,1.75,1.25,2.25,2,2,1.25,2
173,0,2.5,1.75,2.25,1.5,1.5,2.25,2.75,1.25
174,0,2,2,2,2.75,1.75,2,2.5,1.75
175,0,2,1.5,2.25,1.75,1.25,1,1.25,1.75
176,0,1,1,2.5,2,3,3.25,2.75,2.75
177,0,1.75,2,2,1,2.25,2.5,2.25,2.25
178,0,2,2,2.75,2.5,1.5,2,2.75,2.5
179,0,1,1,1.5,2.25,1.75,2.25,2.5,3
180,0,1.75,1.5,1,1.5,2.5,2.25,1.5,2.25
181,0,1.75,2.25,2,2,2,2,3,2.5
182,0,1,1.75,1.75,1.5,1.5,1.75,1,1.75
183,0,1.5,1.5,1.5,2.5,2,2.25,3.25,2.25
184,0,1,1.25,1,1.25,1.75,1.75,1,1
185,0,2,1.25,1.5,2.75,2.5,2,3,3.5
186,0,1.75,1,1.25,1.75,1.25,1.5,1.75,2
187,0,1.75,1.75,2.25,2,1.5,2,2,2.25
188,0,3,2.25,3,2.75,3.25,1.75,2.25,2.25
189,0,1,1,1.5,1,1.25,1.25,1.5,1.25
190,0,2.75,2.25,2,1.5,4.25,3.25,3.25,1.75
191,0,1.75,2,2,2.25,2.25,2,2,1.75
192,0,2,1,1.75,2.25,2.25,2.75,2.75,2
193,0,1.5,1.75,2,2,2,2.25,3,3
194,0,1,1,1,1,1,1,1,1.75
195,0,1.75,1.75,2.75,3,1.25,2.5,3.25,3
196,0,1,1,1,1,1,1,2,1.25
197,0,2.5,1.75,2,2.5,1.75,1.75,2.25,3.5
198,0,1.5,1.25,1,1.25,2,1.5,1.25,1.25
199,0,1.25,1.5,2,1.25,1.25,1,2,2.25
200,0,2.25,2.5,2.25,1.75,3,2.75,2.75,2
201,0,1.25,1,1.5,2.25,1.75,1.75,2.25,1.25
202,0,1,1,1.25,1.25,2,1,1.25,1
203,0,2.75,2.5,1.75,2,2.75,3.25,2.75,3
204,0,1.5,1.75,1,1.75,1.5,1.5,1,2
205,0,1,1,1,1,2,1.75,2,1.5
206,0,2,2.25,2.25,2,3.5,3.75,4,3.75
207,0,1.25,1.25,1.25,1.5,1.5,1,1.75,2
208,0,1,1,1,1,2.5,2.25,1.25,1.5
209,0,1,1,1,2,1.25,1.25,1.5,2.5
210,0,1.5,2,2.25,2,1.5,2.25,2.25,3.25
211,0,1,1.25,1.75,1.25,1.75,2,1.75,1.25
212,0,1.25,1,1,1.5,1.75,1,1.25,1.5
213,0,1,1.5,1,1,1.75,2.5,1.75,1.25
214,0,2.75,2.25,2.5,3,3,3.25,2.75,4
215,0,1,1,1.25,1.75,1.75,2.25,2.25,2.75
216,0,2,1,1.75,1.5,1.25,1,1.25,1.5
217,0,1,1,1.5,1,1.5,1.25,1.75,2.25
218,0,1,2.5,1.25,2.5,3,2.25,2,3
219,0,1.5,1.75,3.25,3.5,2.75,3.75,4.25,3.5
220,0,1.25,1.5,2.5,2.25,2.25,2.25,2.5,2.25
221,0,2.5,2,3,2.5,3,3,2.75,1.75
222,0,1.75,2.5,2.75,2.75,3,3.25,3.5,3.5
223,0,1.5,2.25,1.75,2.25,2,2.5,2.5,2.5
224,0,1.5,1.75,1,2,2,2.25,1.75,1
225,0,2,2,2.5,3.25,2,2.75,2.5,2.75
226,0,1,1,1,1.5,1.75,1.5,1,1.5
227,0,2,1.25,1.75,1.75,2.75,2.5,4.25,3.25
228,0,1.25,1.25,1,1.75,1.5,1,1,2
229,0,1,1.5,2.5,1.5,2.25,3.25,3,3.25
230,0,1.75,2.25,2.25,3,3.75,3,3.5,3
231,0,1,1,1,1.5,1.75,2.25,1.75,1.5
232,0,2.25,3,2.75,2.75,3.5,4,4,3
233,0,1.5,1.25,1.5,2.25,1.75,1.5,2,3
234,0,2.75,1.75,2.25,2.25,2.25,1.75,1.75,3.25
235,0,2,1,1.75,3,2.5,2.5,3.25,3.5
236,0,2.5,2.25,3,3.25,2.5,2.5,2.75,3
237,0,1,1.75,1.25,2.75,1,2,2,2.5
238,0,1.75,3,2,2.25,3,3,2.75,2.75
239,0,1.25,1,2.25,2.5,1.75,2,3.25,3.25
240,0,1,1.75,1.25,1.5,1,1.5,1,1.25
241,0,1.5,2,1.5,2.25,2,1.75,2.5,3.25
242,0,2,2,1.75,2.25,1,1,1.75,2
243,0,1.75,2,1.5,1.75,2,2,2,2.75
244,0,1.5,1.25,1,1.25,1.75,2,1,1
245,0,2.5,2,1.75,2.25,3.25,2.25,3.5,3
246,0,2,1.25,1,2,2.5,2,1.75,3
247,0,1,2,1,1,3,2.5,1.5,1.75
248,0,1.25,1.5,1.75,1.25,2,2,2.5,2.5
249,0,1.5,1.25,1.25,1.25,2.75,3,2.5,2.5
250,0,1.75,2,2.5,2,2.75,2.25,1.5,1.5
251,0,1,1.25,1.25,2,1,1,1,2
252,0,1,1,1,1,2,2,1.25,2.25
253,0,2.25,2.25,2.25,2.75,3.25,2.5,3,4.5
254,0,1,1.25,1,2,2.25,1.25,1.75,3.25
255,0,1.25,1,1.75,1.25,2.75,2.75,2.75,1.5
256,0,1.75,1.75,1,2.25,2.25,1.75,2.25,3.5
257,0,2,1.25,2,2.75,2.25,2,3,2.5
258,0,1.75,2.5,3,2.25,2.25,2.75,3.25,3.5
259,0,2.5,1.5,2,1.5,1.75,1.25,1.5,2.25
260,0,1.5,1.25,1,1.5,1,1,1.25,1.5
261,0,1,1,1.5,2.5,3,3.25,3,4.25
262,0,2.25,1.75,1.5,3.5,3.5,3.25,3.5,4
263,0,2.25,2.5,2.5,2.25,2.25,2.5,2.25,3.75
264,0,1,1,1,1,1,1,1,1
265,0,2,1.25,2,2.5,2.25,1.75,2.5,3.25
266,0,2.5,2.75,2.5,1,1,1.75,1.75,1
267,0,1,2.25,2.5,2,1.75,2,1.75,1.25
268,0,1.5,1.5,2.25,2.75,2.5,3.25,3.75,3.75
269,0,1,1,1.25,1.75,1.75,1.25,1.75,2
270,0,1.25,2,3,1.75,3.25,3.5,3.5,3.75
271,0,2,2,1.75,2.5,3.25,3,3.5,3.75
272,0,1,1.25,1.25,1.5,1.5,1.5,2.25,1.5
273,0,1.5,1,1.5,1.75,1.75,2,2.75,2.5
274,0,1.25,1.5,1.75,1.75,2,2.25,3.5,2.75
275,0,2,1.5,2,2,2.5,2.25,3.25,1.5
276,0,1.5,1.75,1,1.75,1.25,1.25,1,2.5
277,0,1.75,2.5,2.25,3.5,3,4,3.25,4.25
278,0,1.75,2,1.5,2,2.5,2.5,1.5,3
279,0,1.25,1.75,1.5,1.75,2,1.75,2,1.75
280,0,1.5,1.25,1,1,1.25,1.25,1.25,1
281,0,2.5,1.5,1,1,2,1,1.25,1.5
282,0,3,3.5,3.5,3.75,2.75,3.5,3.5,4.5
283,0,2.25,2.5,2.5,3.25,2.75,2.75,3.25,4.75
284,0,1,1.5,1.75,2,1,1,1.75,1.25
285,0,1.5,2,2,1.75,2.25,3.25,3.25,2.5
286,0,2.25,2.25,2.25,1.5,1.5,2.5,1.75,1.75
287,0,1.5,1,1.75,2.25,1.5,1,1.5,1.5
288,0,2.5,2.75,2.5,2.5,2.75,3,3.5,4
289,0,1,1.25,1.25,1,1.25,1.5,1,1.75
290,0,1,2.25,2.75,2.75,2.5,2.75,2.75,2.75
291,0,1,1.5,1.75,1,1.5,1.75,2,1.25
292,0,2.5,1.75,2.5,2,3,2.25,3,2.75
293,0,2,2.5,2.5,2.5,2.25,2.5,3.75,2.75
294,0,1.5,1.75,1.75,2.5,1.25,1.5,1.25,1.5
295,0,2.5,2.5,3.75,3,2.25,2,3,3.25
296,0,1.5,1.75,2,2,2.5,1.75,3.25,2.5
297,0,1.5,1.25,1,1.5,1.5,1.25,1.75,1
298,0,2.5,1.75,2.25,3.25,2,3,3.25,3.5
299,0,1,1,1,1.25,1.75,1.75,2.25,2
300,0,1,1.75,1.25,1.5,2.75,2.75,2.5,2.5
301,0,1,1.5,1.25,1.5,1,2,1.75,2.75
302,0,2.25,2.25,2.5,2.75,2.75,4,3.25,3
303,0,2,2,2.75,2.75,2.25,2.25,2.75,2.25
304,0,1,1.25,1,1,1.25,2,1,1.5
305,0,1.25,1.75,2,3.25,2.25,2.75,2.75,3.25
306,0,1.5,1.25,1,1.5,1.5,2,1,1
307,0,1.5,1.5,3,2.5,2.75,1.75,3,2.25
308,0,2,1,2.25,2,2.25,2.75,2.75,2.5
309,0,2.25,1.5,1.25,2.75,3.5,2.75,2.75,3.75
310,0,1.5,1.75,1.75,2,1,1.5,1.5,1
311,0,2,1.5,1.25,1.75,2,1.75,2,1.75
312,0,1.5,1,1.25,1.75,1.75,1,1,1
313,0,1.5,1.75,1.75,2,1.25,2,1.25,1.75
314,0,1,1,1,1.75,2,2.5,2.5,2.5
315,0,1,1,1,1,1.5,1.5,1.25,1.5
316,0,1,1,1.25,1,1,1.5,1.5,2.25
317,0,2.25,1.75,1.5,1.5,2.75,2.25,2.25,1.25
318,0,2.5,1.75,2.25,2.25,3.5,3.5,3.5,3
319,0,1.25,1.25,1.5,1.5,1,1,1,1.25
320,0,2.5,1.5,2,2,2.5,1.25,2,2
321,0,2,1.75,1.75,2.75,2.5,2.25,2.5,3
322,0,1,1.75,2.25,1.75,1.5,1.25,2,2.25
323,0,1,1.5,1.25,2,2.25,2.75,3,3.5
324,0,2,1.75,2.25,3,1.75,2.25,3.75,2.75
325,0,1,1,1,1,1.5,1.25,1.5,2.25
326,0,2.25,1.25,1.25,1.75,1.5,1.5,1.25,1.25
327,0,1.75,1.5,2.25,2,2.25,1.5,2.5,2.75
328,0,1.5,1.5,1.5,2,2.75,2.75,2.5,2.25
329,0,2.25,2,1.25,1.75,1,1,1.25,1.75
330,0,2.25,3.25,3.75,3.75,3.75,4,4.25,5
331,0,1,1,2.75,1.5,1,1.25,2.5,1.75
332,0,1.75,1.75,2.5,2.25,3,2.75,3.5,3.25
333,0,1.75,1.5,1,1.5,1.75,1.25,1.75,2.25
334,0,2.25,1.25,2,2.25,3,2,2.75,2.25
335,0,1.25,1,1,1,1.75,1.75,1.5,1
336,0,2,2.25,2,2.75,1.75,2.5,2.75,2.25
337,0,2,2.25,2.5,2.5,1.75,2,2.25,3
338,0,1.5,1.25,2,2.5,3.5,3,2.75,3
339,0,1.5,2.5,1.5,2,2.25,1.75,2.75,2.5
340,0,1.5,1.5,1.25,1,2.25,2,2.75,1.5
341,0,1.75,1.5,1.25,1,1.75,1,1.25,1.25
342,0,2,1,1,1,2.5,2.25,3,1.75
343,0,2.75,2.25,2.25,2.75,2,2.25,2.5,3.75
344,0,1,1,1.25,1,1.5,1,1.5,1
345,0,1.5,1.5,1.5,1.25,3.25,2.75,3.25,2.25
346,0,1.75,2.5,1.75,2,2.5,2,1.5,2.5
347,0,1,1.5,1.75,1.25,1.25,2.5,2.25,2.75
348,0,1.75,2,2,1.75,3,3,2.75,2.5
349,0,2.75,1,1.25,2.75,2,1,2,2.5
350,0,2.25,1.75,1.25,1,3,2.25,1.75,1.75
351,0,2,1,1.5,2.5,2.5,2.25,2.5,2
352,0,1.75,1.5,2.5,2.5,2.5,3,3.75,3.5
353,0,2.25,1.75,2.5,1.5,3.25,3.25,3,2.5
354,0,1,1,1.25,1.5,2.25,1.5,1.75,1.75
355,0,1.5,1.75,1.75,2,2,1.5,2,2.25
356,0,1.25,1.75,1,1,1.5,2.5,3,3
357,0,1,1.5,2.5,2.5,2.75,3,3.5,3.75
358,0,1.5,1.25,1,2,1.75,1.25,1.75,2.25
359,0,1,1.25,1.75,1.5,2.25,2.5,3.25,3.25
360,0,1,2,1.75,1,1,1.5,1.5,1.25
361,0,1,1,2.5,2.25,2.25,2.25,3,2.75
362,0,2.25,3,1.75,2.5,3,2.5,1.75,2.25
363,0,1.75,1.5,1.5,1.5,2.5,2.5,1.75,1.5
364,0,1.25,1.25,1,1,2.75,2,2.5,1.5
365,0,1.5,1.75,1.5,2,2.25,2,2,1.5
366,0,1,1,1.25,1.5,2,1.5,1.5,2
367,0,1.5,2,3,2.5,1.75,2.25,2,1.25
368,0,2.75,2,2.25,2,3.25,2.75,3.5,3
369,0,1.5,1.25,1.75,1.5,1,2.25,3,2.5
370,0,1.5,1.5,1,1.25,1.75,2,2.25,2.75
371,0,2.5,2,2.25,2,2.75,2.75,2.75,2.25
372,0,2.25,2.25,1.75,2.5,3,3,2.75,3.25
373,0,1.75,1,1,1.75,1.5,1.25,2,1
374,0,2,2.75,1.25,1.75,2.25,2.25,1.5,2.25
375,0,1.25,1.5,2.5,3,1.5,2.75,2.75,3
376,0,1.75,2,2.25,3,3,2.25,2,3
377,0,1.25,2.25,1.75,3,3,3.5,2.75,4.25
378,0,1.25,1,1.5,2.25,2.75,2.5,2,3
379,0,1.25,2.25,2.25,2.25,1.5,2,2.75,2.75
380,0,1,1.75,2.5,1.75,1,2,2,1.75
381,0,1,1.5,1.5,1.5,1.75,2,1.5,1.5
382,0,2.25,2.25,1.5,1.25,1,2.25,2.25,2.25
383,0,2,2,2.75,2.5,2.75,2.5,3.25,3
384,0,1.25,1.5,1.75,1,1,1.75,1.5,1
385,0,2,1.25,2,2.25,2.25,1.25,1.5,2.75
386,0,2,2.5,2,1.5,2.75,2.5,3.5,3.75
387,0,2,1.75,1.25,1.75,1.75,1.5,1.25,2
388,0,2.25,1.75,1.5,2,2.75,2.25,2.5,1.5
389,0,1.75,1.75,2.25,3,2.75,2.75,2.5,3.25
390,0,1.5,1.25,1.5,1.5,3.25,2.5,2,2
391,0,2.5,1,1.25,2.25,2.75,1.5,2.5,3.75
392,0,1.5,1.75,1.5,1.25,1,1.25,1,1.5
393,0,1.25,1.75,1.75,1.75,2.75,3,3.75,2.75
394,0,1,1.25,2.25,2.25,3,3.25,4,3
395,0,1.5,1.25,1.5,1.75,2.75,2.25,1.5,1.5
396,0,1,2,1,1.5,1.5,3,3,3
397,0,1,1.25,1.75,1.75,1.25,1.75,2.5,1.5
398,0,2,1.75,1.75,2.25,2.5,2.75,1.75,2.5
399,0,2,2,1.5,2.75,3,2.75,1.75,2.25
400,0,1,1,1,1,1.5,1,1,1.5
401,0,1.25,1.5,1,1.25,1,1,1.5,1.5
402,0,2,1.5,1.75,3.5,2.75,2.5,2.25,4
403,0,2.25,2.5,2.5,2,1.75,1.75,2.5,2
404,0,1.75,1.5,1.75,1.5,2,1.5,1.5,1.75
405,0,1.25,1.75,2.5,2,2.25,2,2.75,2.5
406,0,1,1.75,2,2.25,2,2.75,2.5,3
407,0,1,2,2.25,2.5,2,2.5,2.75,2.75
408,0,1,1.75,1.25,1.25,2.5,3.25,2.5,2.75
409,0,1.75,1.75,2.5,2.25,2.75,2.25,3,4
410,0,2.5,3,3.25,2.5,1.75,2.5,2.5,2
411,0,1,1,1,1.5,1,1.75,1,1.25
412,0,2.5,2.25,2,2,2.5,2,2.25,2.5
413,0,3,2.75,3,2.75,3,3,3,2.75
414,0,2,1.75,1.5,1.75,1.5,1.25,1.75,2.5
415,0,2.25,2,2.25,1.5,1.25,1.5,2.25,1.75
416,0,2.25,1.75,1.75,2.75,1.75,1.5,2.25,2.75
417,0,1,1,1,1.25,1.25,1.25,1,1.5
418,0,1.5,2.75,3,3.25,2.75,3.25,4.25,2.25
419,0,1,1,2,1,3,3,3.5,1.25
420,0,1,2,1.75,2.25,1.5,2.25,2.25,2.5
421,0,2,1.25,1.5,1,1.75,1,1.5,1.75
422,0,2,1.75,2,2.75,1.5,2,2.5,3
423,0,1.5,1,1,1.25,3,3.25,3,2
424,0,1.25,1.75,1,1,1.5,1,1,1
425,0,2.75,2.5,2.5,2.5,2.25,2.5,3,3.75
426,0,2,2,2.25,2.75,3.25,2.75,2.25,3
427,0,1.25,1,1,2,2.25,2,1.5,2
428,0,1,1.25,1.25,2,2,2.25,1,3.25
429,0,2.25,2,1.25,2,1.25,2.5,2.5,1.5
430,0,1.75,1.5,1.5,1.25,2,2,1.25,1
431,0,2.5,1,2,2,2.75,2.75,2.75,2.75
432,0,1,1.5,1.25,1.75,2,1.75,1.25,1.25
433,0,1.25,1.5,1.25,2,2.5,2.25,2.5,2.25
434,0,1.5,1.5,1.75,2,3,2.5,3,3.5
435,0,1.5,1,1,1.5,2.5,1.75,1.75,2.25
436,0,1.75,1.75,2,2.75,2.25,2.5,2.75,2.75
437,0,1.75,1.75,3.25,2.75,2,3,3,3.75
438,0,1.75,1.25,1.5,1.25,1,1,1.75,1.5
439,0,1.5,1.25,1,1.25,1,2,2.25,2
440,0,1.5,1.5,1.25,1.25,2,2,2.25,2.5
441,0,1,1,1.5,1,1,1.5,1,1.75
442,0,1,2.25,1,2,2,3,1.75,1.75
443,0,1,1.25,1,1,1.25,1.25,1,1
444,0,1,1.75,1.75,2,2.75,2.25,3.5,2.5
445,0,1,1,1,1.75,1.5,1.25,1.25,2.25
446,0,1.75,2,2,1.75,3,3,3.5,3.75
447,0,1.25,1.25,1,1.75,2.25,2.75,1.75,2.75
448,0,1.25,1.75,2.25,2.5,2.25,3,3.5,2.75
449,0,1,1.5,2,1.5,2,2.25,2,1.75
450,0,1.25,1.75,1,1.5,1.5,1.5,1.5,3.25
451,0,1,1,1,1,1,1.75,1.25,1
