id,team,turnover,male,empower,lmx,relqual,jobsat,climate
519,87,0,0,26,13,1,5,24
520,87,0,1,38,12,1,5,24
521,87,0,1,28,10,0,6,24
522,87,1,1,22,5,0,2,24
523,88,0,0,29,12,1,3,27
524,88,0,0,30,13,1,6,27
525,88,0,1,30,9,0,3,27
526,88,0,0,30,13,1,5,27
527,88,0,1,38,14,1,5,27
528,88,0,1,31,8,0,3,27
529,89,1,1,28,9,0,3,15
530,89,0,0,26,4,0,2,15
531,89,1,0,30,6,0,4,15
532,89,1,1,25,5,0,3,15
533,89,1,1,26,6,0,3,15
534,89,0,0,28,10,0,3,15
535,90,0,1,30,7,0,5,14
536,90,1,0,19,6,0,2,14
537,90,1,1,34,14,1,4,14
538,90,1,0,25,8,0,3,14
539,90,1,0,18,6,0,2,14
540,90,0,0,30,11,0,4,14
541,91,0,1,33,14,1,5,24
542,91,0,1,25,10,0,5,24
543,91,0,1,38,13,1,4,24
544,91,0,1,30,11,0,4,24
545,91,0,1,32,11,0,4,24
546,91,0,1,36,12,1,6,24
547,92,1,0,23,10,0,4,19
548,92,0,0,23,9,0,4,19
549,92,0,0,28,13,1,4,19
550,92,1,0,29,11,0,5,19
551,92,0,1,22,2,0,3,19
552,92,0,0,24,13,1,3,19
553,93,0,1,28,9,0,4,23
554,93,0,0,25,11,0,6,23
555,93,0,0,32,10,0,4,23
556,93,0,1,27,11,0,5,23
557,93,1,1,34,9,0,4,23
558,93,0,1,34,13,1,7,23
559,94,1,1,26,14,1,4,23
560,94,0,1,21,17,1,6,23
561,94,0,1,27,10,0,4,23
562,94,1,0,28,12,1,3,23
563,94,0,0,32,10,0,5,23
564,94,0,0,31,11,0,4,23
565,95,0,1,25,7,0,4,25
566,95,0,1,30,14,1,7,25
567,95,0,0,28,10,0,5,25
568,95,0,1,31,8,0,4,25
569,95,1,0,33,4,0,3,25
570,95,0,1,29,9,0,5,25
571,96,0,0,39,16,1,4,24
572,96,0,1,26,7,0,4,24
573,96,0,1,34,17,1,6,24
574,96,0,1,30,8,0,3,24
575,96,0,1,32,14,1,6,24
576,96,1,0,26,11,0,2,24
577,97,0,1,25,11,0,6,21
578,97,0,0,25,7,0,6,21
579,97,0,1,25,13,1,5,21
580,97,0,0,35,13,1,4,21
581,97,0,0,29,15,1,5,21
582,97,1,0,31,15,1,6,21
583,98,1,1,31,8,0,3,16
584,98,1,0,24,7,0,1,16
585,98,1,0,26,16,1,2,16
586,98,1,0,27,6,0,1,16
587,98,0,0,34,7,0,4,16
588,98,0,0,32,7,0,4,16
589,99,1,0,30,7,0,3,16
590,99,0,1,25,7,0,3,16
591,99,0,1,29,8,0,4,16
592,99,1,1,27,9,0,3,16
593,99,1,1,28,12,1,6,16
594,99,0,1,28,7,0,4,16
595,100,1,1,24,9,0,2,16
596,100,0,0,23,9,0,3,16
597,100,1,0,24,6,0,3,16
598,100,1,0,21,5,0,2,16
599,100,0,0,21,8,0,2,16
600,100,1,0,27,9,0,3,16
601,101,0,1,29,7,0,4,22
602,101,1,1,28,8,0,3,22
603,101,0,1,33,10,0,5,22
604,101,1,0,24,7,0,2,22
605,101,0,1,35,9,0,5,22
606,101,0,0,28,9,0,3,22
607,102,0,1,25,1,0,3,27
608,102,0,0,34,12,1,5,27
609,102,0,0,30,7,0,3,27
610,102,0,0,25,5,0,4,27
611,102,0,0,36,8,0,2,27
612,102,0,1,31,7,0,3,27
613,103,0,0,20,7,0,2,18
614,103,0,0,26,4,0,1,18
615,103,0,1,28,10,0,4,18
616,103,0,0,28,10,0,4,18
617,103,1,1,31,7,0,5,18
618,103,0,0,24,9,0,3,18
619,104,0,1,30,13,1,5,17
620,104,1,0,28,10,0,3,17
621,104,0,1,28,9,0,3,17
622,104,0,1,26,12,1,3,17
623,104,1,0,23,5,0,3,17
624,104,1,1,27,9,0,4,17
625,105,1,0,31,11,0,6,21
626,105,1,0,28,5,0,4,21
627,105,1,0,17,5,0,3,21
628,105,1,1,28,10,0,4,21
629,105,0,0,21,9,0,4,21
630,105,1,1,32,5,0,3,21
