"id","cigsperday","hvysmoker","age","parsmoke","female","race","income","pareduc"
59,7,1,20,1,0,1,2,2
60,13,1,18,1,1,1,11,3
61,6,1,24,0,1,1,7,3
62,4,0,24,1,0,3,5,1
63,4,0,23,0,1,1,13,2
64,0,0,21,0,1,2,10,2
65,8,1,21,1,1,1,8,2
66,12,1,22,1,0,2,2,2
67,8,1,20,1,1,1,4,2
68,6,1,24,0,0,1,19,3
69,5,0,24,0,0,3,7,3
70,2,0,18,0,1,3,8,2
71,5,0,24,0,0,4,12,2
72,0,0,21,0,1,1,12,3
73,3,0,25,0,1,1,13,3
74,13,1,21,0,1,1,9,2
75,13,1,25,1,0,1,5,2
76,3,0,21,1,1,3,9,2
77,5,0,22,1,0,1,10,3
78,7,1,22,1,1,1,11,2
79,10,1,22,1,0,4,5,1
80,12,1,20,1,1,4,6,2
81,9,1,19,1,1,1,10,3
82,3,0,22,0,1,3,4,2
83,1,0,25,0,1,2,10,3
84,5,0,24,1,0,4,7,2
85,3,0,24,0,1,1,14,3
86,9,1,22,1,1,3,2,1
87,3,0,23,0,1,2,9,2
88,4,0,24,0,1,4,8,3
89,8,1,18,1,1,1,12,1
90,3,0,20,1,0,1,8,2
91,5,0,20,0,0,1,6,3
92,1,0,25,0,0,1,12,3
93,9,1,18,1,0,3,11,2
94,3,0,24,0,1,1,10,3
95,6,1,21,1,1,1,13,3
96,8,1,21,1,1,1,11,3
97,3,0,18,0,0,1,12,2
98,8,1,19,1,1,2,6,2
99,5,0,18,1,1,3,13,3
100,12,1,20,0,1,3,6,1
101,7,1,22,1,1,3,1,1
102,0,0,21,0,1,1,10,3
103,4,0,18,0,1,1,7,2
104,1,0,20,0,0,1,12,2
105,4,0,23,0,1,1,9,2
106,19,1,19,0,1,3,2,2
107,16,1,24,1,1,2,4,2
108,6,1,21,1,1,1,11,2
109,6,1,22,1,1,3,10,1
110,4,0,18,1,0,1,3,2
111,1,0,19,0,1,3,7,1
112,1,0,18,1,0,2,7,2
113,4,0,20,1,1,1,11,3
114,5,0,20,1,1,1,7,2
115,6,1,19,1,1,4,7,2
116,3,0,23,0,1,3,3,2
117,2,0,18,1,1,1,11,2
118,6,1,25,0,1,1,8,2
119,6,1,23,1,0,1,15,3
120,7,1,25,1,1,1,12,3
121,7,1,22,1,1,3,5,2
122,3,0,24,0,1,3,8,2
123,0,0,20,0,1,1,9,3
124,6,1,24,1,0,1,6,2
125,3,0,22,0,0,3,6,2
126,8,1,23,0,0,4,11,3
127,4,0,23,0,1,2,8,3
128,10,1,25,1,0,1,8,1
129,9,1,22,0,1,1,7,1
130,4,0,22,1,0,1,9,2
131,3,0,22,0,1,1,6,3
132,3,0,20,1,0,3,3,2
133,12,1,24,0,0,1,9,2
134,0,0,24,0,1,2,8,3
135,16,1,25,1,1,4,3,2
136,4,0,19,1,1,1,11,2
137,15,1,25,1,1,3,10,2
138,3,0,21,0,0,1,10,2
139,3,0,21,1,1,3,9,3
140,5,0,23,1,0,4,9,2
141,4,0,22,0,0,2,4,2
142,8,1,24,1,1,3,2,2
143,5,0,21,0,1,3,6,2
144,4,0,25,0,0,3,5,2
145,1,0,18,1,1,3,3,2
146,6,1,18,1,0,1,3,1
147,12,1,19,1,1,1,4,2
148,6,1,24,0,0,3,11,2
149,24,1,23,1,0,1,4,2
150,5,0,23,0,1,1,9,2
151,5,0,18,0,1,1,9,3
152,15,1,25,1,1,3,7,2
153,3,0,22,0,0,2,6,2
154,8,1,23,0,0,1,6,2
155,3,0,19,1,1,3,5,2
156,7,1,24,1,1,1,16,2
157,4,0,20,0,1,1,4,3
158,19,1,18,1,0,1,10,3
159,4,0,18,1,0,4,2,2
160,6,1,22,1,1,1,4,3
161,8,1,21,1,0,1,5,3
162,9,1,24,0,1,1,8,2
163,4,0,24,0,1,3,10,3
164,3,0,25,0,0,1,11,3
165,6,1,23,1,1,1,6,2
166,8,1,24,0,1,1,13,2
167,2,0,21,0,1,3,5,3
168,15,1,19,1,1,1,10,2
169,12,1,23,1,0,1,8,3
170,4,0,24,1,0,4,11,2
171,0,0,19,0,1,1,12,3
172,38,1,22,1,1,4,8,1
173,0,0,23,0,1,2,7,3
174,9,1,25,1,0,4,5,2
175,2,0,21,0,0,3,8,3
176,3,0,19,1,0,3,4,3
177,8,1,18,0,0,2,9,2
178,2,0,19,0,1,1,12,2
179,2,0,18,1,0,1,8,2
180,5,0,25,0,1,1,13,2
181,1,0,18,1,1,1,15,3
182,6,1,21,1,1,3,1,2
183,4,0,19,1,1,1,8,2
184,15,1,20,1,0,1,6,2
185,50,1,19,0,1,1,16,3
186,1,0,19,0,0,1,10,3
187,6,1,22,0,1,1,9,3
188,21,1,21,0,1,1,4,2
189,5,0,24,0,1,1,11,2
190,6,1,18,1,1,1,10,2
191,3,0,21,1,0,1,8,2
192,13,1,23,0,1,3,8,3
193,3,0,25,0,0,1,12,2
194,3,0,20,1,1,1,13,3
195,3,0,18,1,1,3,8,2
196,4,0,22,0,1,1,7,3
197,3,0,22,1,1,1,7,2
198,6,1,23,1,0,1,5,2
199,3,0,20,1,0,3,7,2
200,7,1,20,0,1,1,5,3
201,3,0,23,0,1,1,10,3
202,15,1,25,0,0,3,3,2
203,1,0,22,0,0,1,16,3
204,3,0,20,1,1,3,9,2
205,5,0,18,0,1,1,8,3
206,4,0,21,1,1,3,7,2
207,2,0,24,0,1,1,10,3
208,4,0,19,1,1,1,7,2
209,5,0,23,1,1,2,7,2
210,5,0,24,1,0,3,9,3
211,3,0,23,0,0,1,5,2
212,6,1,23,0,1,3,6,2
213,5,0,24,1,1,1,10,2
214,10,1,22,0,0,1,2,2
215,9,1,25,1,1,1,12,2
216,3,0,24,0,1,1,15,1
217,3,0,25,0,0,1,16,2
218,8,1,24,1,0,1,2,2
219,12,1,25,1,1,1,7,3
220,1,0,18,0,0,1,6,2
221,12,1,24,0,1,3,6,2
222,2,0,19,0,1,3,9,2
223,3,0,20,1,0,1,5,2
224,3,0,24,0,0,1,8,2
225,4,0,21,0,1,1,11,2
226,1,0,18,1,1,4,12,2
227,3,0,19,0,1,1,7,3
228,10,1,25,1,1,1,9,3
229,1,0,19,1,1,2,9,2
230,1,0,21,0,0,3,7,2
231,9,1,18,1,1,1,11,2
232,4,0,21,0,1,3,1,2
233,2,0,19,0,1,1,11,2
234,2,0,20,0,1,2,10,3
235,1,0,18,0,0,3,3,2
236,6,1,25,0,1,1,12,2
237,9,1,19,1,0,1,7,2
238,15,1,25,1,1,1,5,2
239,3,0,20,0,1,1,3,1
240,3,0,25,0,1,1,14,2
241,8,1,24,1,0,1,10,2
242,15,1,23,0,1,1,8,3
243,2,0,21,0,1,2,15,3
244,2,0,18,0,0,1,11,3
245,5,0,20,1,1,1,7,2
246,5,0,25,1,1,1,13,3
247,8,1,25,1,0,1,10,2
248,4,0,19,1,1,1,12,2
249,8,1,22,0,1,1,11,2
250,9,1,24,1,1,4,9,2
251,2,0,20,0,0,1,10,3
252,2,0,23,0,1,3,7,2
253,2,0,18,1,0,2,4,1
254,4,0,23,0,1,1,6,3
255,3,0,24,0,1,3,11,3
256,2,0,18,0,0,1,10,2
257,18,1,19,1,1,1,3,2
258,3,0,19,0,1,1,15,3
259,0,0,18,0,1,2,11,2
260,8,1,24,1,1,1,6,2
261,4,0,19,1,0,1,6,2
262,6,1,19,0,0,1,6,1
263,3,0,23,0,0,1,19,3
264,3,0,18,1,0,2,8,2
265,6,1,25,0,1,3,4,2
266,8,1,24,1,1,3,8,2
267,3,0,19,0,1,2,4,2
268,2,0,21,0,1,3,4,2
269,6,1,19,0,1,1,10,2
270,2,0,18,1,1,1,9,3
271,3,0,20,1,1,2,8,3
272,1,0,18,0,1,3,10,2
273,9,1,19,0,1,1,2,2
274,15,1,25,1,0,4,16,2
275,10,1,24,1,1,4,7,2
276,7,1,25,1,0,4,8,2
277,9,1,25,0,0,1,14,3
278,4,0,25,0,0,3,5,2
279,4,0,22,0,0,2,14,3
280,1,0,19,0,1,3,10,2
281,1,0,20,0,0,1,9,2
282,8,1,21,1,1,1,1,2
283,1,0,18,1,1,1,10,2
284,0,0,22,0,0,3,8,2
285,9,1,22,0,1,1,12,2
286,4,0,25,0,0,1,12,2
287,6,1,23,0,0,3,2,1
288,4,0,21,0,1,1,9,2
289,7,1,23,1,0,1,10,3
290,2,0,18,0,0,1,6,3
291,7,1,25,1,1,1,12,3
292,4,0,22,0,1,3,5,2
293,3,0,18,0,0,1,13,3
294,2,0,22,1,1,3,7,2
295,0,0,19,0,1,3,9,2
296,3,0,25,0,0,1,8,3
297,9,1,25,0,1,3,2,2
298,1,0,20,0,0,4,8,3
299,4,0,25,0,1,4,12,2
300,1,0,21,0,0,1,8,2
301,0,0,18,0,0,1,11,3
302,3,0,21,1,1,3,4,2
303,7,1,18,1,0,1,9,2
304,1,0,19,0,1,3,5,3
305,3,0,22,0,0,1,6,2
306,3,0,24,0,1,1,13,2
307,3,0,25,0,1,1,13,3
308,1,0,21,1,0,3,5,2
309,3,0,23,0,1,1,8,3
310,19,1,25,0,1,1,10,3
311,6,1,22,1,1,3,1,2
312,8,1,25,0,0,1,8,1
313,6,1,24,1,1,1,11,3
314,2,0,21,0,1,3,11,3
315,5,0,20,1,1,2,5,2
316,9,1,23,1,1,1,10,3
317,13,1,23,1,1,1,7,2
318,9,1,25,1,0,2,15,2
319,15,1,25,1,0,1,12,2
320,3,0,19,1,0,1,1,2
321,8,1,20,0,1,4,3,1
322,3,0,19,0,1,4,3,3
323,34,1,21,0,1,1,3,3
324,0,0,20,0,1,1,7,3
325,1,0,18,0,0,1,4,2
326,4,0,20,0,1,3,7,2
327,3,0,21,0,1,1,13,3
328,4,0,22,0,1,3,1,2
329,1,0,22,0,0,1,12,2
330,6,1,24,0,1,1,5,2
331,1,0,18,1,1,3,8,2
332,5,0,23,0,0,2,10,3
333,6,1,25,0,1,3,1,2
334,3,0,20,1,1,1,9,3
335,3,0,22,1,1,2,10,2
336,5,0,24,0,0,1,8,1
337,3,0,19,1,1,3,11,2
338,8,1,24,1,0,1,12,3
339,1,0,23,0,0,1,12,3
340,8,1,18,0,1,1,10,2
341,3,0,23,0,1,1,5,2
342,12,1,22,0,0,2,6,2
343,2,0,22,0,1,1,4,2
344,9,1,22,0,0,1,7,2
345,3,0,18,1,0,3,8,2
346,3,0,19,0,0,2,8,1
347,2,0,23,0,0,1,5,2
348,7,1,24,1,0,1,5,2
349,2,0,21,0,1,3,9,2
350,9,1,21,0,1,1,12,3
351,9,1,24,0,1,3,8,2
352,0,0,21,0,0,1,8,2
353,5,0,25,0,0,1,7,2
354,3,0,24,0,0,1,8,2
355,1,0,20,0,0,1,6,3
356,3,0,18,0,0,1,9,3
357,1,0,20,0,0,3,2,2
358,4,0,22,1,1,4,2,1
359,8,1,24,1,0,1,10,2
360,4,0,24,0,0,3,12,2
361,5,0,21,0,0,2,2,2
362,3,0,21,1,1,2,8,2
363,7,1,21,1,1,3,7,3
364,2,0,21,0,0,1,10,2
365,2,0,20,0,0,1,7,2
366,8,1,23,1,1,1,4,2
367,9,1,22,1,1,3,4,1
368,10,1,22,1,1,1,5,1
369,3,0,22,1,1,1,8,3
370,5,0,21,0,1,1,7,2
371,2,0,18,0,0,1,11,1
372,8,1,21,1,0,1,9,1
373,7,1,24,0,1,1,11,3
374,3,0,18,0,1,1,13,3
375,3,0,21,0,1,4,3,2
376,4,0,18,0,1,1,11,1
377,12,1,25,1,1,1,7,2
378,16,1,25,1,1,3,6,2
379,4,0,19,1,0,1,6,2
380,2,0,19,0,0,1,9,2
381,2,0,21,0,1,3,5,3
382,9,1,20,0,1,1,12,3
383,13,1,25,0,0,1,17,3
384,2,0,20,0,0,2,11,2
385,1,0,18,0,0,3,1,2
386,3,0,18,1,0,3,7,2
387,7,1,23,1,0,1,13,2
388,5,0,20,0,0,1,13,3
389,6,1,25,0,0,1,6,2
390,5,0,20,1,1,1,12,2
391,1,0,18,0,1,2,4,3
392,7,1,22,1,1,3,10,2
393,0,0,23,0,1,1,10,2
394,7,1,24,0,1,1,1,1
395,5,0,24,0,0,3,12,3
396,6,1,24,0,1,1,5,2
397,3,0,18,1,1,3,9,3
398,6,1,23,0,1,4,12,2
399,6,1,19,1,0,1,9,2
400,3,0,23,0,0,2,8,2
401,0,0,23,0,1,1,9,3
402,2,0,22,0,1,3,10,2
403,6,1,22,1,1,1,2,2
404,1,0,18,0,0,4,7,2
405,2,0,18,0,0,3,10,2
406,5,0,24,0,1,4,2,1
407,7,1,25,0,1,1,4,3
408,7,1,21,0,1,1,3,2
409,1,0,25,0,0,2,9,2
410,4,0,19,0,1,2,6,2
411,3,0,19,0,1,1,7,2
412,6,1,20,1,1,1,9,1
413,4,0,18,1,1,1,5,2
414,5,0,24,0,1,1,4,1
415,6,1,24,0,0,2,5,2
416,18,1,25,1,1,3,1,2
417,7,1,23,1,0,2,11,2
418,10,1,24,1,1,1,8,2
419,2,0,18,0,0,1,8,2
420,2,0,18,0,1,1,14,3
421,8,1,23,1,1,1,11,2
422,7,1,25,0,1,1,9,2
423,3,0,21,0,0,1,12,3
424,7,1,25,0,1,1,9,2
425,2,0,24,0,1,1,9,3
426,6,1,25,0,1,1,2,1
427,6,1,24,0,1,1,12,3
428,4,0,21,1,1,3,8,2
429,3,0,19,0,1,1,13,3
430,5,0,18,0,0,2,6,2
431,2,0,21,0,1,1,5,3
432,3,0,20,1,1,1,10,2
433,0,0,20,0,0,3,10,2
434,7,1,24,1,1,3,9,2
435,3,0,24,0,0,1,5,3
436,9,1,25,1,0,1,3,2
437,5,0,21,0,1,3,7,2
438,2,0,19,0,1,1,11,2
439,3,0,18,1,0,1,13,2
440,1,0,24,0,0,2,10,3
441,0,0,18,0,1,3,11,2
442,4,0,19,1,0,3,4,2
443,7,1,21,1,0,1,4,2
444,12,1,25,0,0,3,4,1
445,9,1,25,0,0,1,12,3
446,2,0,18,0,1,1,5,2
447,8,1,23,0,0,1,7,3
448,3,0,19,1,1,1,9,2
449,3,0,23,0,1,3,10,2
450,3,0,21,1,0,1,13,2
451,8,1,18,0,0,2,6,1
452,13,1,19,1,0,1,8,1
453,21,1,23,1,0,3,2,1
454,3,0,18,0,1,2,3,3
455,6,1,23,1,1,1,8,2
456,2,0,25,0,1,1,11,2
457,3,0,25,0,0,3,8,2
458,3,0,20,1,1,3,10,2
459,8,1,22,1,0,1,7,2
460,28,1,21,1,1,1,18,2
461,10,1,21,1,1,3,4,2
462,15,1,24,1,1,2,10,2
463,5,0,23,1,0,3,2,2
464,5,0,23,0,1,1,10,3
465,10,1,25,1,1,1,3,2
466,3,0,23,1,1,1,5,2
467,10,1,24,1,0,1,7,3
468,10,1,23,1,1,3,1,1
469,6,1,25,0,1,1,7,2
470,1,0,18,0,1,3,5,2
471,9,1,23,1,1,4,6,2
472,12,1,25,1,1,3,7,2
473,3,0,24,0,1,1,5,3
474,4,0,23,0,1,3,4,2
475,1,0,18,0,0,3,7,3
476,9,1,19,0,1,3,4,1
477,5,0,23,1,0,1,13,2
478,8,1,24,1,1,1,10,2
479,1,0,20,0,0,1,7,2
480,1,0,20,1,1,3,7,2
481,1,0,18,0,0,1,8,3
482,2,0,20,0,1,1,15,3
483,1,0,20,0,0,2,9,2
484,4,0,19,1,1,1,15,3
485,5,0,22,1,1,1,12,3
486,7,1,18,1,1,2,1,1
487,5,0,25,0,1,1,13,2
488,10,1,22,1,1,2,2,2
489,8,1,25,1,1,1,9,2
490,0,0,22,0,0,2,7,2
491,2,0,19,1,0,1,13,3
492,4,0,22,1,1,3,5,2
493,3,0,20,1,1,4,8,2
494,12,1,25,0,0,3,10,3
495,4,0,19,0,1,1,13,2
496,1,0,19,1,0,1,16,3
497,2,0,22,0,0,2,10,3
498,0,0,23,0,1,1,8,2
499,12,1,25,1,0,1,11,2
500,7,1,20,1,0,1,12,3
501,1,0,19,0,0,3,9,2
502,2,0,24,0,1,1,14,3
503,3,0,22,0,1,1,9,2
504,1,0,20,0,1,1,12,2
505,16,1,25,1,1,3,5,2
506,3,0,22,0,1,1,6,2
507,5,0,19,0,1,1,6,1
508,16,1,21,1,0,1,8,2
509,13,1,18,1,1,1,15,2
510,3,0,25,0,0,1,8,2
511,7,1,22,1,1,1,11,1
512,4,0,19,0,1,2,3,2
513,6,1,21,0,1,1,5,2
514,1,0,20,0,0,1,7,2
515,3,0,20,0,0,1,7,3
516,5,0,18,1,1,1,9,2
517,12,1,19,1,1,3,1,1
518,6,1,22,0,1,3,7,1
519,3,0,22,0,1,4,9,2
520,3,0,24,0,0,1,12,3
521,2,0,20,0,1,2,9,2
522,5,0,20,1,1,3,2,2
523,3,0,19,0,1,3,7,3
524,0,0,20,0,1,3,7,2
525,5,0,23,0,1,1,3,2
526,9,1,18,0,0,1,11,2
527,10,1,25,1,1,3,2,1
528,7,1,22,1,0,1,14,3
529,3,0,21,0,1,1,12,3
530,3,0,19,1,0,1,16,2
531,1,0,22,0,1,4,7,2
532,3,0,23,0,0,1,11,2
533,1,0,21,1,1,2,15,3
534,3,0,22,0,0,1,10,3
535,4,0,23,1,1,4,5,2
536,6,1,23,1,1,1,4,2
537,1,0,21,0,0,3,6,2
538,8,1,25,1,0,1,7,2
539,21,1,25,1,0,1,13,3
540,3,0,24,0,0,3,6,2
541,6,1,23,1,1,1,7,2
542,9,1,25,0,1,3,12,3
543,5,0,25,0,1,3,12,2
544,4,0,18,1,0,1,8,2
545,2,0,21,1,1,1,12,2
546,3,0,20,1,1,1,10,1
547,4,0,21,0,1,3,8,1
548,8,1,25,1,0,3,9,3
549,7,1,18,1,1,1,13,2
550,1,0,18,0,1,4,14,3
551,4,0,21,0,1,1,14,2
552,0,0,19,0,0,1,14,2
553,3,0,21,0,0,1,6,3
554,4,0,22,0,0,3,10,2
555,19,1,19,0,0,3,8,2
556,1,0,19,0,0,1,8,2
557,3,0,24,1,0,1,11,2
558,1,0,19,0,1,1,9,2
559,4,0,18,0,0,1,10,3
560,2,0,23,0,1,1,7,2
561,9,1,22,0,1,1,1,2
562,4,0,19,0,1,2,4,1
563,3,0,20,1,1,2,6,2
564,12,1,24,1,0,1,8,2
565,1,0,19,1,1,1,6,3
566,3,0,25,0,0,2,13,3
567,5,0,23,1,1,3,7,2
568,5,0,18,1,1,1,6,2
569,3,0,20,0,1,3,1,2
570,1,0,21,0,1,1,13,3
571,4,0,22,0,1,4,8,3
572,4,0,22,0,1,3,12,2
573,4,0,19,0,1,1,10,2
574,9,1,20,0,0,1,7,3
575,3,0,23,1,1,3,5,1
576,5,0,19,1,1,1,13,3
577,1,0,23,0,1,3,8,1
578,3,0,24,0,1,3,13,3
579,2,0,21,0,1,3,8,3
580,5,0,22,0,1,2,6,2
581,4,0,24,0,1,2,8,2
582,16,1,25,1,0,4,3,2
583,2,0,25,0,1,3,4,2
584,3,0,18,1,0,3,4,2
585,4,0,24,0,1,3,4,2
586,9,1,25,1,0,1,8,2
587,9,1,19,1,1,1,4,2
588,6,1,20,1,0,3,4,1
589,7,1,18,1,1,3,1,2
590,7,1,24,1,1,1,10,2
591,7,1,23,0,0,1,8,2
592,3,0,20,1,1,3,3,1
593,15,1,19,1,1,1,10,3
594,6,1,22,1,1,1,14,3
595,6,1,22,1,0,1,5,2
596,5,0,25,1,1,1,11,2
597,4,0,25,0,1,1,11,2
598,1,0,20,0,1,1,4,2
599,6,1,22,1,0,1,8,1
600,9,1,25,0,0,1,11,3
601,1,0,21,0,1,1,10,2
602,3,0,20,0,1,1,6,2
603,8,1,24,1,1,3,2,1
604,1,0,23,0,1,1,12,2
605,4,0,19,0,1,3,6,2
606,19,1,18,0,0,1,13,2
607,12,1,24,0,0,1,9,2
608,0,0,18,0,1,3,9,3
609,5,0,22,1,0,2,8,2
610,3,0,19,1,1,1,10,3
611,1,0,19,0,1,1,12,2
612,7,1,24,0,1,3,7,2
613,2,0,19,0,0,1,14,2
614,7,1,23,0,1,1,7,2
615,8,1,24,1,0,1,3,2
616,15,1,19,1,0,1,2,2
617,8,1,22,1,0,1,8,3
618,7,1,25,1,1,2,15,2
619,3,0,18,1,1,1,7,2
620,3,0,19,0,1,1,13,2
621,3,0,21,0,1,2,3,2
622,8,1,20,1,1,1,11,3
623,4,0,25,1,0,2,5,2
624,18,1,19,1,1,3,1,1
625,3,0,18,1,1,1,2,1
626,15,1,23,1,1,1,6,3
627,3,0,20,0,0,1,7,2
628,6,1,23,1,1,3,5,2
629,9,1,20,1,1,1,3,2
630,3,0,24,0,1,4,6,2
631,18,1,25,1,0,1,7,3
632,1,0,22,0,1,2,16,3
633,1,0,21,0,1,1,15,3
634,5,0,20,1,1,1,13,3
635,1,0,19,0,1,2,6,2
636,5,0,21,1,1,1,6,2
637,3,0,19,1,0,1,7,2
638,7,1,22,1,0,1,13,3
639,9,1,22,1,0,1,14,2
640,3,0,21,1,1,1,13,2
641,8,1,23,1,1,1,5,2
642,4,0,23,0,1,1,7,2
643,5,0,20,1,1,3,4,1
644,3,0,18,1,0,1,15,2
645,4,0,20,1,1,1,4,2
646,9,1,21,0,0,1,7,2
647,10,1,18,1,0,1,13,3
648,13,1,24,1,1,1,7,2
649,19,1,22,0,0,1,2,1
650,6,1,22,1,1,1,9,3
651,8,1,25,1,0,3,7,2
652,1,0,19,0,0,1,8,3
653,3,0,18,1,0,2,8,2
654,3,0,20,0,1,1,7,2
655,6,1,25,0,0,3,9,2
656,10,1,18,1,1,1,13,2
657,4,0,24,0,0,1,7,2
658,3,0,22,0,1,1,8,2
659,6,1,18,1,1,1,3,1
660,7,1,22,1,1,1,3,2
661,3,0,24,1,1,1,9,3
662,10,1,18,1,1,1,1,2
663,8,1,25,0,0,1,8,2
664,3,0,24,0,0,1,16,3
665,4,0,21,0,0,1,5,1
666,4,0,19,0,1,3,6,3
667,9,1,22,1,1,1,8,2
668,3,0,20,0,0,1,4,2
669,12,1,22,1,1,1,6,2
670,2,0,20,1,1,1,9,3
671,0,0,19,0,1,3,7,2
672,0,0,25,0,0,2,9,3
673,7,1,21,1,0,1,11,3
674,10,1,22,1,1,1,5,2
675,3,0,22,0,0,2,6,3
676,8,1,24,0,1,1,8,2
677,12,1,19,1,0,1,7,2
678,4,0,19,1,1,1,8,2
679,7,1,20,0,1,1,6,2
680,7,1,24,1,1,3,1,1
681,3,0,20,0,1,1,16,2
682,4,0,21,0,1,1,4,2
683,3,0,24,0,0,4,8,2
684,10,1,21,1,0,4,6,2
685,12,1,23,0,0,2,8,2
686,2,0,22,0,1,3,12,2
687,4,0,25,1,1,3,9,2
688,3,0,23,1,1,3,7,2
689,3,0,18,1,1,1,12,3
690,6,1,24,0,0,3,9,3
691,1,0,22,0,0,4,9,1
692,2,0,18,0,0,1,9,3
693,12,1,20,0,1,3,6,2
694,4,0,25,0,1,1,15,2
695,6,1,25,0,0,3,8,2
696,3,0,18,1,0,4,9,1
697,2,0,18,0,1,1,3,3
698,6,1,22,1,0,1,8,2
699,3,0,24,0,1,1,15,3
700,4,0,19,1,0,1,9,2
701,1,0,19,0,1,3,3,2
702,6,1,22,1,1,1,6,2
703,1,0,20,0,1,1,14,2
704,1,0,20,0,0,1,5,3
705,7,1,22,0,0,1,8,2
706,3,0,18,1,1,1,9,2
707,5,0,19,0,1,1,13,2
708,6,1,23,1,0,1,9,2
709,3,0,19,1,1,3,4,2
710,0,0,23,0,1,2,15,3
711,1,0,18,0,0,1,14,2
712,4,0,22,0,1,4,6,2
713,13,1,20,1,0,1,5,2
714,19,1,23,0,1,1,9,2
715,4,0,24,0,1,1,7,2
716,4,0,20,1,0,1,12,2
717,8,1,25,1,0,1,10,1
718,8,1,25,1,1,2,5,2
719,3,0,20,0,0,1,12,3
720,4,0,23,0,1,1,6,2
721,15,1,25,0,1,1,6,2
722,3,0,19,0,1,3,5,2
723,1,0,22,0,1,1,12,2
724,6,1,24,1,0,1,9,2
725,7,1,21,1,0,3,2,2
726,2,0,18,1,1,3,10,1
727,3,0,18,1,1,1,10,2
728,2,0,22,0,0,3,9,2
729,3,0,23,1,0,1,13,3
730,2,0,19,0,1,1,10,2
731,6,1,18,0,1,3,5,2
732,4,0,25,0,0,1,5,1
733,2,0,20,0,1,1,10,2
734,3,0,21,1,0,4,12,2
735,6,1,21,1,1,1,7,3
736,1,0,20,0,1,1,8,2
737,3,0,20,0,0,3,2,1
738,15,1,25,1,0,1,12,2
739,16,1,24,0,1,1,8,3
740,4,0,21,1,1,1,5,2
741,3,0,24,0,0,3,10,2
742,18,1,22,1,1,3,2,1
743,3,0,21,0,1,4,9,2
744,7,1,22,1,1,1,8,3
745,0,0,18,0,1,3,9,3
746,1,0,21,0,1,2,10,3
747,3,0,20,0,1,4,15,3
748,5,0,21,1,0,1,10,2
749,0,0,25,0,1,3,6,3
750,3,0,19,1,1,3,6,1
751,1,0,20,0,1,4,12,2
752,4,0,22,0,1,1,6,2
753,4,0,24,1,0,3,8,2
754,0,0,19,0,0,4,5,3
755,8,1,24,1,1,1,10,3
756,1,0,18,0,1,1,15,3
757,6,1,25,0,1,1,9,2
758,3,0,24,0,1,1,10,3
759,6,1,20,1,1,1,1,2
760,5,0,21,0,1,1,4,2
761,4,0,23,0,1,3,8,2
762,0,0,18,0,1,1,10,3
763,0,0,20,0,1,1,17,3
764,4,0,22,0,1,3,1,1
765,3,0,23,0,0,3,5,2
766,5,0,24,0,0,4,7,1
767,8,1,22,1,1,1,4,2
768,1,0,18,1,1,4,7,3
769,9,1,19,1,0,1,4,2
770,0,0,19,0,1,3,14,3
771,2,0,18,0,1,1,7,2
772,5,0,20,1,0,1,5,2
773,9,1,19,1,1,3,10,2
